,name,OName,Group,Per,E_Per,e_Per,Rp,E_Rp,e_Rp,age,E_age,e_age,Teff,logg,flag,stmass,Validation,Gaia_id
95,TOI-1518 b,                 ,Group 685,1.902603,1.1e-05,1.1e-05,21.017,0.594,-0.594,331.1311215,66.97604907,55.70825115,7300.0,4.1,Other,1.79,NO,2210596444367488384
96,TOI-1937 A b,NGC 2516         ,Group 613,0.94667944,4.7e-07,4.7e-07,13.978,0.661,-0.695,144.5439771,37.42610879,29.72861492,5814.0,4.4,TESS,1.07,Excluded,5489726768531119616
97,TOI-4145 A b,Platais 3        ,Group 787,4.0664428,5.8e-06,5.8e-06,13.305,0.359,-0.347,269.1534804,61.97764109,50.377318,5281.0,4.53,TESS,0.91,Excluded,568619413331898240
98,TOI-837 b,IC 2602          ,Group 92,8.3248762,1.57e-05,1.57e-05,8.631,1.009,-1.009,44.66835922,14.21600632,10.7839436,6047.0,4.47,TESS,1.12,YES,5251470948229949568
99,V1298 Tau b,                 ,Group 44,24.1396,0.0018,0.0018,10.27,0.58,-0.53,32.35936569,13.34945327,9.450689165,,,K2,1.1,YES,51886335968692480
100,V1298 Tau c,                 ,Group 44,8.24958,0.00072,0.00072,5.59,0.36,-0.32,32.35936569,13.34945327,9.450689165,,,K2,1.1,YES,51886335968692480
101,V1298 Tau d,                 ,Group 44,12.4032,0.0015,0.0015,6.41,0.45,-0.4,32.35936569,13.34945327,9.450689165,,,K2,1.1,YES,51886335968692480
102,V1298 Tau e,                 ,Group 44,60.0,60.0,18.0,8.74,0.84,-0.72,32.35936569,13.34945327,9.450689165,,,K2,1.1,YES,51886335968692480
103,HD 283869 b,Hyades,,106.0,74.0,25.0,1.96045073,0.130024176,0.130024176,728.0,71.0,71.0,4655.0,,K2,0.74,NO,154257259425702144
104,K2-25 b,Hyades,,3.484552,3.1e-05,3.7e-05,3.429948104,0.952763362,0.31385146,728.0,71.0,71.0,3180.0,,K2,0.29,YES,3311804515502788352
105,K2-95 b,Praesepe,,10.134016,0.001132,0.001143,3.878307333,1.748600994,1.748600994,670.0,67.0,67.0,3548.0,,K2,0.44,YES,659744295638254336
106,K2-100 b,Praesepe,,1.673833,4.9e-05,5e-05,3.586873834,0.134507769,0.134507769,670.0,67.0,67.0,6168.0,,K2,1.23,YES,664337230586013312
107,K2-101 b,Praesepe,,14.677286,0.000828,0.000804,1.99519857,0.100880827,0.100880827,670.0,67.0,67.0,4819.0,,K2,0.8,YES,661004400386393984
108,K2-102 b,Praesepe,,9.915615,0.001209,0.001195,1.300241765,0.100880827,0.100880827,670.0,67.0,67.0,4695.0,,K2,0.77,YES,661310756111835392
109,K2-103 b,Praesepe,,21.169861,0.001725,0.001695,1.983989589,0.112089807,0.112089807,670.0,67.0,67.0,4148.21,,K2,0.66,YES,658607950370340608
110,K2-104 b,Praesepe,,1.974238,0.00011,0.00011,1.961571628,0.14571675,0.14571675,670.0,67.0,67.0,3546.46,,K2,0.43,YES,664292459846946560
111,K2-264 b,Praesepe,,5.840002,0.000676,0.000602,2.230587165,0.14571675,0.14571675,670.0,67.0,67.0,3660.0,,K2,0.5,YES,661167785238757376
112,K2-264 c,Praesepe,,19.660302,0.003496,0.003337,2.667737414,0.201761653,0.190552672,670.0,67.0,67.0,3660.0,,K2,0.5,YES,661167785238757376
113,K2-284 b, Cas-Tau,,4.795069,8.6e-05,8.6e-05,2.779827221,0.134507769,0.123298788,120.0,640.0,20.0,4140.0,,K2,0.63,YES,3413793491812093824
114,TOI-200 b,Tuc-Hor,,8.138268,1e-05,1e-05,5.699766702,0.170376507,0.170376507,40.0,5.0,5.0,5597.0,,TESS,0.959,YES,6387058411482257536
115,TOI-451 b,Psc-Eri,,1.8587028,8e-06,1e-05,1.891963858,0.095948875,0.094043348,134.0,6.5,6.5,5550.0,,TESS,0.95,YES,4844691297067063424
116,TOI-451 c,Psc-Eri,,9.192453,4.1e-05,3.3e-05,3.080227905,0.140112259,0.140112259,134.0,6.5,6.5,5550.0,,TESS,0.95,YES,4844691297067063424
117,TOI-451 d,Psc-Eri,,16.364932,3.6e-05,3.6e-05,46.18100061,1.905526724,1.905526724,134.0,6.5,6.5,5550.0,,TESS,0.95,YES,4844691297067063424
118,TOI-1098 b,Melange-1,,10.18271,4e-05,4e-05,3.194559508,0.100880827,0.100880827,250.0,50.0,70.0,6200.0,,TESS,1.21,YES,5765748511163751936
119,HD 63433 b,UMa,,7.10793,0.0004,0.00034,2.149882504,0.100880827,0.100880827,414.0,23.0,23.0,5640.0,,TESS,0.99,YES,875071278432954240
120,HD 63433 c,UMa,,20.5456,0.0016,0.0019,2.710331541,0.140112259,0.140112259,414.0,23.0,23.0,5640.0,,TESS,0.99,YES,875071278432954240
121,HIP 67522 b,Sco-Cen,,6.959503,1.6e-05,1.6e-05,10.07014829,0.469656293,0.469656293,17.0,2.0,2.0,5675.0,,TESS,1.22,YES,6113920619134019456
122,HIP 67522 c,Sco-Cen,,54.0,70.0,24.0,8.00993763,0.749880811,0.749880811,17.0,2.0,2.0,5675.0,,TESS,1.22,YES,6113920619134019456
123,AU Mic b,AU Mic,,8.462991,2.4e-06,2.4e-06,4.38046967,0.18046459,0.18046459,22.0,3.0,3.0,3700.0,,TESS,0.5,NO,6794047652729201024
124,AU Mic c,AU Mic,,18.858991,1e-05,1e-05,3.509531867,0.160288424,0.160288424,22.0,3.0,3.0,3700.0,,TESS,0.5,NO,6794047652729201024
125,PATHOS 4,ASCC 88          ,Group 195,10.013,0.0025,0.0026,39.1,9.5,7.3,61.65950019,50.54234524,27.77508457,8776.0,3.645200014,TESS,2.200000048,YES,5977188376809634432
126,PATHOS 8,NGC 2437         ,Group 3371,12.0829,0.0045,0.0047,30.4,9.4,4.0,208.9296131,72.90868004,54.04795119,7156.0,4.328299999,TESS,1.600000024,NO,3029589773632754688
127,PATHOS 11,NGC 2669         ,Group 2767,20.0207,0.0051,0.005,36.0,9.5,6.1,134.8962883,42.93165274,32.56698903,7461.0,4.376599789,TESS,1.710000038,YES,5318327336862657408
128,PATHOS 12,Alessi 8         ,Group 335,7.327,0.0019,0.0018,61.0,5.6,6.5,141.2537545,28.57061078,23.76399897,6512.0,4.278600216,TESS,1.340000033,NO,5889360246986113024
129,PATHOS 13,NGC 2318         ,Group 3278,1.4618,0.0002,0.0002,35.9,7.6,6.4,194.98446,86.85383315,60.08817172,6421.0,4.188899994,TESS,1.289999962,NO,2949493547003693056
130,PATHOS 14,NGC 2527         ,Group 1047,3.2196,0.0003,0.0003,53.7,13.3,10.4,501.1872336,115.4077682,93.80695582,7824.0,3.724699974,TESS,1.860000014,YES,5597873804538618496
131,PATHOS 15,NGC 2527         ,Group 1047,3.7785,0.0003,0.0003,29.0,2.7,2.1,501.1872336,115.4077682,93.80695582,7082.0,4.206399918,TESS,1.570000052,YES,5597846003199406976
132,PATHOS 18,ASCC 85          ,Group 156,5.3465,0.0016,0.0016,36.6,7.2,5.8,87.096359,25.10548643,19.48806146,8257.0,4.157000065,TESS,2.029999971,NO,5943218685840800384
133,PATHOS 19,NGC 5316         ,Group 2235,11.6556,0.0073,0.0075,51.3,6.0,5.2,77.62471166,51.20024351,30.85119753,8853.0,4.032700062,TESS,2.230000019,NO,5864810587518727168
134,PATHOS 21,NGC 2516         ,Group 613,11.6929,0.0002,0.0002,18.2,1.2,1.0,144.5439771,37.42610879,29.72861492,6140.0,4.239099979,TESS,1.159999967,YES,5290781443841554432
135,PATHOS 25,NGC 2516         ,Group 613,15.7784,0.0004,0.0004,15.7,3.7,2.0,144.5439771,37.42610879,29.72861492,7296.6,4.19990015,TESS,1.649999976,YES,5290968085934209152
136,PATHOS 26,NGC 5925         ,Group 2978,2.703,0.0006,0.0006,40.2,4.4,2.9,158.4893192,104.5374799,62.99006064,8810.0,4.375400066,TESS,2.210000038,NO,5886945685085166464
137,PATHOS 30,IC 2602          ,Group 92,8.3252,0.0006,0.0006,6.9,0.6,0.4,44.66835922,14.21600632,10.7839436,6104.0,4.492800236,TESS,1.149999976,YES,5251470948229949568
138,PATHOS 31,IC 2602          ,Group 92,2.8622,0.0004,0.0004,3.8,0.2,0.2,44.66835922,14.21600632,10.7839436,4743.0,4.51970005,TESS,0.75999999,YES,5239758155778687360
139,PATHOS 32,NGC 3114         ,Group 293,2.3669,0.0001,0.0001,37.3,6.6,5.9,85.11380382,22.0381267,17.50550628,,,TESS,,YES,5256758362220708736
140,PATHOS 35,Vela OB2         ,Group 22,2.0865,0.0004,0.0004,15.9,4.7,1.4,12.30268771,2.488396174,2.069757785,3854.0,4.231200218,TESS,0.589999974,YES,5519320261438248704
141,PATHOS 36,Vela OB2         ,Group 22,1.5498,0.0003,0.0003,9.7,0.3,0.3,12.30268771,2.488396174,2.069757785,11159.0,4.506700039,TESS,2.920000076,YES,5519619186857962112
142,PATHOS 39,Vela OB2         ,Group 22,5.5705,0.0004,0.0004,53.6,6.6,7.3,12.30268771,2.488396174,2.069757785,,,TESS,,NO,5514090434376720512
143,PATHOS 40,Vela OB2         ,Group 22,27.1769,0.0067,0.0072,11.8,3.0,1.5,12.30268771,2.488396174,2.069757785,5080.0,4.114200115,TESS,0.850000024,NO,5517515000782381184
144,PATHOS 42,Upper Sco        ,Group 45,18.7944,0.0042,0.0092,11.9,3.0,1.9,7.079457844,1.431922538,1.19102129,4894.0,,TESS,,YES,5997490206145065088
145,PATHOS 50,NGC 752          ,Group 1214,1.1328,0.0001,0.0001,5.53,0.5,0.5,831.7637711,191.5292212,155.6807957,4512.7,4.317699909,TESS,0.709999979,YES,342927888474397568
146,PATHOS 52,Alessi 37        ,Group 349,3.8552,0.0009,0.0009,38.02,23.8,17.6,144.5439771,50.4404829,37.39204655,6306.0,4.267000198,TESS,1.24000001,YES,1984154395449640832
147,PATHOS 53,RSG 5            ,Group 96,70.0427,19.435,19.5648,18.99,1.3,1.1,33.88441561,5.020098886,4.372323347,4786.0,4.476299763,TESS,0.772000015,YES,2081986397475498496
148,PATHOS 57,Gulliver 49      ,Group 2376,3.3736,0.0,0.0,33.07,1.0,1.0,93.32543008,76.49893517,42.03929168,7262.0,3.635400057,TESS,1.639999986,NO,2015735496142908544
149,PATHOS 58,NGC 7654         ,Group 2085,3.7786,0.0,0.0,74.71,11.8,12.1,60.25595861,33.06947147,21.35144411,8146.0,3.909600019,TESS,1.99000001,NO,2015669903400853504
150,PATHOS 59,NGC 6811         ,Group 5603,2.6377,0.0002,0.0002,23.56,0.4,0.3,691.8309709,139.9328002,116.3910336,5684.1,4.345499992,TESS,1.00999999,NO,2128072564788836096
151,PATHOS 64,King 6           ,Group 864,8.5751,0.002,0.002,63.14,12.8,11.3,204.1737945,90.9471282,62.92004,7301.0,4.070300102,TESS,1.649999976,YES,448529520694401024
152,PATHOS 67,NGC 457          ,Group 1785,7.1465,0.0035,0.0035,114.24,22.8,21.0,25.70395783,18.96440139,10.91287395,9798.0,3.794699907,TESS,2.5,NO,413903661853314560
153,PATHOS 70,NGC 6997         ,Group 899,10.025,0.0035,0.4778,30.34,33.0,6.5,331.1311215,105.3847108,79.94247833,9305.0,3.950000048,TESS,2.359999895,YES,2163008236788153728
154,PATHOS 74,NGC 7086         ,Group 2737,5.4767,0.0004,0.0005,78.89,19.5,17.6,131.8256739,63.15878612,42.70058004,8354.0,3.671999931,TESS,2.059999943,NO,2171713074653526016
155,PATHOS 75,NGC 225          ,Group 747,6.5343,0.0002,0.0002,10.46,0.5,0.5,165.9586907,33.56754075,27.92026428,9324.0,3.958300114,TESS,2.369999886,YES,427614644875238528
156,PATHOS 77,NGC 7209         ,Group 4421,6.2981,0.0007,0.0007,35.21,0.8,0.7,380.1893963,66.49419583,56.59573939,6348.0,4.237299919,TESS,1.25999999,YES,1975085005075632256
